trial,succeeded,deadline,last_step_deadline,num_steps,total_reward,max_possible_reward,performance,reward = -1,reward = 0.5,reward = 1,reward = 2,
63,1,30,18,13,28.0,36,0.777777777778,0.0,0.0,0.615384615385,0.384615384615,
64,1,25,16,10,24.0,30,0.8,0.0,0.0,0.6,0.4,
65,1,30,23,8,23.0,26,0.884615384615,0.0,0.0,0.375,0.625,
66,1,20,14,7,20.0,24,0.833333333333,0.0,0.0,0.571428571429,0.428571428571,
67,1,35,16,20,36.5,50,0.73,0.05,0.05,0.45,0.45,
68,1,20,12,9,22.0,28,0.785714285714,0.0,0.0,0.666666666667,0.333333333333,
69,1,25,14,12,26.0,34,0.764705882353,0.0,0.0,0.666666666667,0.333333333333,
70,1,35,21,15,31.0,40,0.775,0.0,0.0,0.6,0.4,
71,1,20,11,10,23.0,30,0.766666666667,0.0,0.0,0.7,0.3,
72,1,30,19,12,27.0,34,0.794117647059,0.0,0.0,0.583333333333,0.416666666667,
73,1,25,15,11,25.0,32,0.78125,0.0,0.0,0.636363636364,0.363636363636,
74,1,20,16,5,18.0,20,0.9,0.0,0.0,0.4,0.6,
75,1,25,17,9,23.0,28,0.821428571429,0.0,0.0,0.555555555556,0.444444444444,
76,1,30,19,12,27.0,34,0.794117647059,0.0,0.0,0.583333333333,0.416666666667,
77,1,20,13,8,21.5,26,0.826923076923,0.0,0.125,0.375,0.5,
78,1,35,22,14,28.0,38,0.736842105263,0.0714285714286,0.0,0.5,0.428571428571,
79,1,30,18,13,28.0,36,0.777777777778,0.0,0.0,0.615384615385,0.384615384615,
80,1,50,30,21,40.0,52,0.769230769231,0.0,0.0,0.571428571429,0.428571428571,
81,1,20,10,11,24.0,32,0.75,0.0,0.0,0.727272727273,0.272727272727,
82,1,20,11,10,23.0,30,0.766666666667,0.0,0.0,0.7,0.3,
83,1,20,14,7,20.0,24,0.833333333333,0.0,0.0,0.571428571429,0.428571428571,
84,1,50,39,12,25.5,34,0.75,0.0,0.0833333333333,0.583333333333,0.333333333333,
85,1,45,22,24,42.0,58,0.724137931034,0.0,0.0,0.666666666667,0.333333333333,
86,1,25,16,10,24.0,30,0.8,0.0,0.0,0.6,0.4,
87,1,55,32,24,44.0,58,0.758620689655,0.0,0.0,0.583333333333,0.416666666667,
88,1,25,21,5,19.0,20,0.95,0.0,0.0,0.2,0.8,
89,1,45,34,12,30.0,34,0.882352941176,0.0,0.0,0.333333333333,0.666666666667,
90,1,35,24,12,30.0,34,0.882352941176,0.0,0.0,0.333333333333,0.666666666667,
91,1,35,12,24,40.0,58,0.689655172414,0.0,0.0,0.75,0.25,
92,1,20,15,6,19.0,22,0.863636363636,0.0,0.0,0.5,0.5,
93,1,50,27,24,43.0,58,0.741379310345,0.0,0.0,0.625,0.375,
94,1,25,18,8,22.0,26,0.846153846154,0.0,0.0,0.5,0.5,
95,1,30,24,7,22.0,24,0.916666666667,0.0,0.0,0.285714285714,0.714285714286,
96,1,25,14,12,26.0,34,0.764705882353,0.0,0.0,0.666666666667,0.333333333333,
97,1,20,17,4,17.0,18,0.944444444444,0.0,0.0,0.25,0.75,
98,1,40,28,13,30.0,36,0.833333333333,0.0,0.0,0.461538461538,0.538461538462,
99,1,25,10,16,30.0,42,0.714285714286,0.0,0.0,0.75,0.25,
